,file,Silence,Baby laughter,"Baby cry, infant cry"
246,v79_ns-5,0.1484375,0.0078125,0.0
247,v79_ns-6,0.1484375,0.0,0.0
248,v79_ns-7,0.1484375,0.0,0.0
249,v79_ns-8,0.1484375,0.0,0.0
250,v79_ns-9,0.109375,0.00390625,0.03125
251,v80_ns-1,0.19921875,0.0,0.0
252,v80_ns-10,0.1484375,0.0,0.0
253,v80_ns-100,0.19921875,0.0,0.0
254,v80_ns-101,0.1484375,0.0,0.0
255,v80_ns-102,0.19921875,0.0,0.0
256,v80_ns-103,0.1484375,0.0,0.0
257,v80_ns-104,0.1484375,0.00390625,0.0
258,v80_ns-105,0.19921875,0.0,0.0
259,v80_ns-106,0.1484375,0.0,0.0
260,v80_ns-107,0.1484375,0.0,0.0
261,v80_ns-108,0.19921875,0.0,0.0
262,v80_ns-109,0.1484375,0.0,0.0
263,v80_ns-11,0.1484375,0.0,0.0
264,v80_ns-110,0.19921875,0.0,0.0
265,v80_ns-111,0.19921875,0.0,0.0
266,v80_ns-112,0.19921875,0.0,0.0
267,v80_ns-113,0.1484375,0.0,0.0
268,v80_ns-114,0.109375,0.0,0.0
269,v80_ns-115,0.1484375,0.0,0.0
270,v80_ns-116,0.1484375,0.0,0.0
271,v80_ns-117,0.19921875,0.0,0.0
272,v80_ns-118,0.1484375,0.0,0.0
273,v80_ns-119,0.1484375,0.0,0.0
274,v80_ns-12,0.19921875,0.0,0.0
275,v80_ns-120,0.19921875,0.0,0.0
276,v80_ns-121,0.1484375,0.0,0.0
277,v80_ns-122,0.1484375,0.0,0.0
278,v80_ns-123,0.1484375,0.0,0.0
279,v80_ns-124,0.19921875,0.0,0.0
280,v80_ns-125,0.1484375,0.0,0.0
281,v80_ns-126,0.1484375,0.0,0.0
282,v80_ns-127,0.1484375,0.0,0.0
283,v80_ns-128,0.1484375,0.0,0.00390625
284,v80_ns-129,0.19921875,0.00390625,0.015625
285,v80_ns-13,0.1484375,0.0,0.0
286,v80_ns-130,0.19921875,0.0,0.00390625
287,v80_ns-131,0.1484375,0.0,0.0
288,v80_ns-132,0.1484375,0.0,0.0
289,v80_ns-133,0.19921875,0.0,0.0
290,v80_ns-134,0.1484375,0.0,0.0
291,v80_ns-135,0.1484375,0.0,0.0
292,v80_ns-136,0.1484375,0.0,0.0
293,v80_ns-137,0.109375,0.0,0.0
294,v80_ns-138,0.109375,0.0,0.0
295,v80_ns-139,0.1484375,0.0,0.0
296,v80_ns-14,0.1484375,0.0,0.0
297,v80_ns-140,0.1484375,0.0,0.0
298,v80_ns-141,0.1484375,0.0,0.0
299,v80_ns-142,0.19921875,0.0,0.0
300,v80_ns-143,0.109375,0.0,0.0
301,v80_ns-144,0.19921875,0.0,0.0
302,v80_ns-145,0.19921875,0.0,0.0
303,v80_ns-146,0.1484375,0.0,0.0
304,v80_ns-147,0.1484375,0.0,0.0
305,v80_ns-148,0.109375,0.0,0.0
306,v80_ns-149,0.19921875,0.0,0.0
307,v80_ns-15,0.1484375,0.0,0.0
308,v80_ns-150,0.19921875,0.0,0.0
309,v80_ns-151,0.1484375,0.0,0.0
310,v80_ns-152,0.1484375,0.0,0.0
311,v80_ns-153,0.19921875,0.0,0.0
312,v80_ns-154,0.109375,0.0,0.0
313,v80_ns-155,0.1484375,0.01171875,0.0
314,v80_ns-156,0.1484375,0.0,0.0
315,v80_ns-157,0.1484375,0.0,0.0
316,v80_ns-158,0.1484375,0.0,0.0
317,v80_ns-159,0.1484375,0.0,0.0
318,v80_ns-16,0.1484375,0.0,0.0
319,v80_ns-160,0.1484375,0.0,0.0
320,v80_ns-161,0.1484375,0.0,0.0
321,v80_ns-162,0.19921875,0.0,0.0
322,v80_ns-163,0.109375,0.0,0.0
323,v80_ns-164,0.19921875,0.0,0.0
324,v80_ns-165,0.1484375,0.0,0.0
325,v80_ns-166,0.1484375,0.0,0.0
326,v80_ns-167,0.1484375,0.0,0.0
327,v80_ns-17,0.1484375,0.0,0.0
328,v80_ns-18,0.19921875,0.0,0.0
329,v80_ns-19,0.19921875,0.0,0.0
330,v80_ns-2,0.1484375,0.0,0.0
331,v80_ns-20,0.1484375,0.0,0.0
332,v80_ns-21,0.1484375,0.0,0.0
333,v80_ns-22,0.109375,0.0,0.0
334,v80_ns-23,0.109375,0.0,0.0
335,v80_ns-24,0.19921875,0.0,0.0
336,v80_ns-25,0.109375,0.0,0.0
337,v80_ns-26,0.1484375,0.0,0.0
338,v80_ns-27,0.109375,0.0,0.0
339,v80_ns-28,0.109375,0.0,0.0
340,v80_ns-29,0.1484375,0.0,0.0
341,v80_ns-3,0.1484375,0.0,0.0
342,v80_ns-30,0.1484375,0.0,0.0
343,v80_ns-31,0.1484375,0.0,0.0
344,v80_ns-32,0.19921875,0.0,0.0
